batsman,Bowling Team,Innings,batsman_runs,valid_ball,Strike Rate,not outs,Average
AB de Villiers,Chennai Super Kings,23,516,333,154.95,2,24.56
AB de Villiers,Deccan Chargers,7,153,127,120.47,1,25.5
AB de Villiers,Delhi Capitals,13,474,289,164.01,4,52.67
AB de Villiers,Gujarat Lions,4,233,125,186.4,2,116.5
AB de Villiers,Kochi Tuskers Kerala,1,54,40,135.0,1,54.0
AB de Villiers,Kolkata Knight Riders,18,435,291,149.48,5,33.46
AB de Villiers,Mumbai Indians,22,726,495,146.67,6,45.38
AB de Villiers,Pune Warriors India,5,149,69,215.94,3,74.5
AB de Villiers,Punjab Kings,21,710,445,159.55,6,47.33
AB de Villiers,Rajasthan Royals,19,648,439,147.61,5,46.29
AB de Villiers,Rising Pune Supergiant,4,116,87,133.33,0,29.0
AB de Villiers,Royal Challengers Bangalore,4,115,112,102.68,0,28.75
AB de Villiers,Sunrisers Hyderabad,15,520,329,158.05,1,37.14
Aakash Chopra,Deccan Chargers,2,35,42,83.33,0,17.5
Aakash Chopra,Delhi Capitals,1,13,17,76.47,0,13.0
Aakash Chopra,Mumbai Indians,1,1,4,25.0,0,1.0
Aakash Chopra,Punjab Kings,1,2,3,66.67,0,2.0
Aakash Chopra,Royal Challengers Bangalore,1,2,5,40.0,0,2.0
Aaron Finch,Chennai Super Kings,8,154,128,120.31,0,19.25
Aaron Finch,Deccan Chargers,2,0,3,0.0,0,0.0
Aaron Finch,Delhi Capitals,9,297,208,142.79,1,37.12
Aaron Finch,Kolkata Knight Riders,13,315,231,136.36,0,24.23
Aaron Finch,Mumbai Indians,10,267,230,116.09,1,29.67
Aaron Finch,Pune Warriors India,1,25,12,208.33,0,25.0
Aaron Finch,Punjab Kings,10,243,197,123.35,0,24.3
Aaron Finch,Rajasthan Royals,8,163,146,111.64,0,20.38
Aaron Finch,Rising Pune Supergiant,3,96,61,157.38,1,48.0
Aaron Finch,Royal Challengers Bangalore,11,240,182,131.87,1,24.0
Aaron Finch,Sunrisers Hyderabad,10,205,164,125.0,2,25.62
Abdul Samad,Chennai Super Kings,1,8,6,133.33,1,8.0
Abdul Samad,Delhi Capitals,2,45,23,195.65,1,45.0
Abdul Samad,Kolkata Knight Riders,1,23,15,153.33,0,23.0
Abdul Samad,Mumbai Indians,1,20,9,222.22,0,20.0
Abdul Samad,Punjab Kings,2,15,12,125.0,0,7.5
Abdur Razzak,Rajasthan Royals,1,0,2,0.0,1,0.0
Abhimanyu Mithun,Chennai Super Kings,1,11,8,137.5,0,11.0
Abhimanyu Mithun,Delhi Capitals,2,5,6,83.33,0,2.5
Abhimanyu Mithun,Kolkata Knight Riders,1,2,2,100.0,0,2.0
Abhimanyu Mithun,Punjab Kings,2,16,10,160.0,1,16.0
Abhinav Mukund,Rajasthan Royals,2,19,22,86.36,0,9.5
Abhishek Jhunjhunwala,Chennai Super Kings,3,19,11,172.73,1,9.5
Abhishek Jhunjhunwala,Deccan Chargers,1,11,8,137.5,0,11.0
Abhishek Jhunjhunwala,Delhi Capitals,3,59,55,107.27,1,29.5
Abhishek Jhunjhunwala,Kolkata Knight Riders,1,45,36,125.0,0,45.0
Abhishek Jhunjhunwala,Mumbai Indians,3,46,48,95.83,0,15.33
Abhishek Jhunjhunwala,Punjab Kings,2,19,22,86.36,0,9.5
Abhishek Jhunjhunwala,Royal Challengers Bangalore,2,18,29,62.07,0,9.0
Abhishek Nayar,Chennai Super Kings,8,147,99,148.48,3,29.4
Abhishek Nayar,Deccan Chargers,6,99,70,141.43,1,19.8
Abhishek Nayar,Delhi Capitals,5,42,54,77.78,1,10.5
Abhishek Nayar,Kolkata Knight Riders,3,13,18,72.22,0,4.33
Abhishek Nayar,Mumbai Indians,3,31,30,103.33,0,10.33
Abhishek Nayar,Pune Warriors India,2,36,45,80.0,0,18.0
Abhishek Nayar,Punjab Kings,6,94,83,113.25,2,23.5
Abhishek Nayar,Rajasthan Royals,6,92,70,131.43,2,23.0
Abhishek Nayar,Royal Challengers Bangalore,8,95,85,111.76,3,19.0
Abhishek Nayar,Sunrisers Hyderabad,3,23,19,121.05,0,7.67
Abhishek Raut,Chennai Super Kings,3,28,23,121.74,1,14.0
Abhishek Raut,Deccan Chargers,3,37,28,132.14,1,18.5
Abhishek Raut,Delhi Capitals,1,11,13,84.62,0,11.0
Abhishek Raut,Kolkata Knight Riders,3,34,32,106.25,1,17.0
Abhishek Raut,Mumbai Indians,1,20,17,117.65,1,20.0
Abhishek Raut,Punjab Kings,3,27,26,103.85,1,13.5
Abhishek Raut,Royal Challengers Bangalore,2,37,28,132.14,2,37.0
Abhishek Sharma,Chennai Super Kings,2,33,28,117.86,0,16.5
Abhishek Sharma,Delhi Capitals,2,3,4,75.0,1,3.0
Abhishek Sharma,Kolkata Knight Riders,1,2,3,66.67,1,2.0
Abhishek Sharma,Mumbai Indians,3,27,26,103.85,1,13.5
Abhishek Sharma,Punjab Kings,2,17,9,188.89,1,17.0
Abhishek Sharma,Royal Challengers Bangalore,3,61,28,217.86,1,30.5
Abu Nechim,Chennai Super Kings,2,8,8,100.0,2,8.0
Abu Nechim,Kolkata Knight Riders,1,5,2,250.0,1,5.0
Abu Nechim,Mumbai Indians,1,1,1,100.0,1,1.0
Abu Nechim,Royal Challengers Bangalore,1,18,13,138.46,1,18.0
Abu Nechim,Sunrisers Hyderabad,1,4,2,200.0,0,4.0
