batsman,batsman_runs,Innings,balls_faced,total_fours,total_sixes,Total Boundaries,High_score,strike_rate,Centuries,Half_Centuries,not outs,Average
Virat Kohli,5878,184,4480,503,201,704,113,131.21,5,39,30,38.17
Suresh Raina,5368,189,3895,493,194,687,100,137.82,1,38,28,33.34
David Warner,5254,142,3694,510,195,705,126,142.23,4,48,19,42.72
Rohit Sharma,5230,194,3991,458,213,671,109,131.04,1,39,28,31.51
Shikhar Dhawan,5197,175,4082,591,108,699,106,127.32,2,41,23,34.19
AB de Villiers,4849,156,3181,390,235,625,133,152.44,3,38,36,40.41
Chris Gayle,4772,131,3164,383,349,732,175,150.82,6,31,15,41.14
Mahendra Singh Dhoni,4632,182,3371,313,216,529,84,137.41,0,23,69,40.99
Robin Uthappa,4607,182,3528,454,163,617,87,130.58,0,24,17,27.92
Gautam Gambhir,4217,151,3394,492,59,551,93,124.25,0,36,16,31.24
Ajinkya Rahane,3933,140,3236,416,76,492,105,121.54,2,28,16,31.72
Shane Watson,3874,141,2797,376,190,566,117,138.51,4,21,16,30.99
Dinesh Karthik,3823,176,2942,377,105,482,97,129.95,0,19,29,26.01
Ambati Rayudu,3659,149,2888,308,132,440,100,126.7,1,19,27,29.99
Manish Pandey,3268,134,2680,288,93,381,114,121.94,1,18,24,29.71
Yusuf Pathan,3204,153,2229,262,158,420,100,143.74,1,13,43,29.13
Kieron Pollard,3023,144,2005,196,198,394,83,150.77,0,15,43,29.93
Brendon McCullum,2880,109,2172,293,130,423,158,132.6,2,13,5,27.69
Parthiv Patel,2848,136,2350,365,49,414,81,121.19,0,13,10,22.6
Yuvraj Singh,2750,126,2113,217,149,366,83,130.15,0,13,15,24.77
Virender Sehwag,2728,104,1739,334,106,440,122,156.87,2,16,5,27.56
KL Rahul,2647,72,1943,234,104,338,132,136.23,2,21,13,44.86
Murali Vijay,2619,105,2147,247,91,338,127,121.98,2,13,5,26.19
Sanju Samson,2584,102,1926,191,115,306,102,134.16,2,13,10,28.09
Shaun Marsh,2477,69,1862,266,78,344,115,133.03,1,20,7,39.95
Jacques Kallis,2427,95,2213,255,44,299,89,109.67,0,17,11,28.89
Dwayne Smith,2385,88,1755,245,117,362,87,135.9,0,17,4,28.39
Sachin Tendulkar,2334,78,1941,295,29,324,100,120.25,1,13,9,33.83
Steve Smith,2333,86,1792,212,58,270,101,130.19,1,11,20,35.35
Faf du Plessis,2302,77,1779,205,73,278,96,129.4,0,16,7,32.89
Shreyas Iyer,2200,78,1739,189,83,272,96,126.51,0,16,8,31.43
Rahul Dravid,2174,82,1878,268,28,296,75,115.76,0,11,5,28.23
Ravindra Jadeja,2159,136,1695,157,76,233,50,127.37,0,1,51,25.4
Rishabh Pant,2079,68,1363,183,103,286,128,152.53,1,12,9,35.24
Adam Gilchrist,2069,80,1483,239,92,331,109,139.51,2,11,4,27.22
JP Duminy,2029,75,1631,126,79,205,78,124.4,0,14,24,39.78
Suryakumar Yadav,2024,86,1498,221,58,279,79,135.11,0,11,19,30.21
Aaron Finch,2005,85,1562,204,75,279,88,128.36,0,14,6,25.38
Wriddhiman Saha,1979,97,1498,184,64,248,115,132.11,1,8,20,25.7
Michael Hussey,1977,58,1610,198,52,250,116,122.8,1,15,7,38.76
Quinton de Kock,1959,66,1464,201,76,277,108,133.81,1,14,4,31.6
David Miller,1850,77,1328,126,87,213,101,139.31,1,9,23,34.26
Mahela Jayawardene,1802,78,1460,200,39,239,110,123.42,1,10,15,28.6
Jos Buttler,1714,57,1144,167,77,244,95,149.83,0,11,8,34.98
Manoj Tiwary,1695,83,1444,156,40,196,75,117.38,0,7,24,28.73
Mayank Agarwal,1690,83,1254,161,67,228,106,134.77,1,7,3,21.12
Kumar Sangakkara,1687,68,1385,195,27,222,94,121.81,0,10,3,25.95
Mandeep Singh,1659,90,1333,170,37,207,77,124.46,0,6,16,22.42
Kane Williamson,1619,52,1197,136,54,190,89,135.25,0,15,11,39.49
Naman Ojha,1554,94,1308,121,79,200,94,118.81,0,6,19,20.72
Andre Russell,1517,61,826,105,129,234,88,183.66,0,8,10,29.75
Glenn Maxwell,1505,78,968,118,91,209,95,155.48,0,6,10,22.13
Dwayne Bravo,1490,101,1154,116,61,177,70,129.12,0,5,35,22.58
Karun Nair,1480,66,1151,160,39,199,83,128.58,0,10,5,24.26
Subramaniam Badrinath,1441,65,1208,154,28,182,71,119.29,0,11,18,30.66
Nitish Rana,1437,55,1058,127,72,199,87,135.82,0,11,3,27.63
Brad Hodge,1400,63,1112,122,43,165,73,125.9,0,6,21,33.33
Saurabh Tiwary,1379,69,1138,101,48,149,61,121.18,0,7,19,27.58
Sourav Ganguly,1349,56,1257,137,42,179,91,107.32,0,7,3,25.45
Hardik Pandya,1349,74,842,86,93,179,91,160.21,0,4,29,29.98
David Hussey,1322,61,1070,90,60,150,71,123.55,0,5,12,26.98
Chris Lynn,1280,41,906,128,63,191,93,141.28,0,10,3,33.68
Eoin Morgan,1272,59,1006,104,58,162,68,126.44,0,5,9,25.44
Ishan Kishan,1211,46,883,100,64,164,99,137.15,0,7,4,28.83
Tillakaratne Dilshan,1153,50,1001,140,24,164,76,115.18,0,9,7,26.81
Kedar Jadhav,1141,75,907,99,38,137,69,125.8,0,4,25,22.82
Irfan Pathan,1139,82,943,87,37,124,60,120.78,0,1,29,21.49
Matthew Hayden,1107,32,798,121,44,165,93,138.72,0,8,2,36.9
Lendl Simmons,1079,29,848,109,44,153,100,127.24,1,11,2,39.96
Ross Taylor,1017,54,818,66,46,112,81,124.33,0,3,14,25.43
Manan Vohra,1012,45,767,97,39,136,95,131.94,0,3,2,23.53
Kevin Pietersen,1001,36,742,91,40,131,103,134.91,1,4,8,35.75
Krunal Pandya,1000,57,702,95,40,135,86,142.45,0,1,16,24.39
Rahul Tripathi,988,44,731,95,37,132,93,135.16,0,5,5,25.33
Venugopal Rao,985,52,832,77,37,114,71,118.39,0,3,8,22.39
Andrew Symonds,974,36,745,74,41,115,117,130.74,1,5,9,36.07
Albie Morkel,974,67,682,61,55,116,73,142.82,0,3,27,24.35
Moises Henriques,969,50,753,87,27,114,74,128.69,0,5,16,28.5
Cameron White,954,45,752,76,36,112,78,126.86,0,6,9,26.5
Shubman Gill,939,37,748,87,24,111,76,125.53,0,7,9,33.54
Ben Stokes,920,40,678,79,32,111,107,135.69,2,2,5,26.29
Axar Patel,913,71,713,53,43,96,44,128.05,0,0,21,18.26
Sunil Narine,892,63,542,103,52,155,75,164.58,0,4,11,17.15
Herschelle Gibbs,886,36,805,83,31,114,69,110.06,0,6,4,27.69
Stuart Binny,880,66,682,66,35,101,48,129.03,0,0,20,19.13
Harbhajan Singh,829,86,595,79,42,121,64,139.33,0,1,32,15.35
Prithvi Shaw,826,38,590,99,27,126,99,140.0,0,6,0,21.74
Marcus Stoinis,825,42,598,65,34,99,65,137.96,0,4,13,28.45
Manvinder Bisla,798,39,700,93,23,116,92,114.0,0,4,1,21.0
Jonny Bairstow,790,21,553,79,31,110,114,142.86,1,5,2,41.58
Sanath Jayasuriya,768,30,529,84,39,123,114,145.18,1,4,2,27.43
Shakib Al Hasan,746,46,585,70,20,90,66,127.52,0,2,11,21.31
Graeme Smith,739,29,664,94,9,103,91,111.3,0,4,3,28.42
Angelo Mathews,724,41,573,44,29,73,65,126.35,0,1,11,24.13
