bowler,batting_team,Innings,bowler's_wicket,bowler's_runs,valid_ball,overs,economy
Aaron Finch,Chennai Super Kings,1,0,9,6,1.0,9.0
Aaron Finch,Kolkata Knight Riders,1,0,5,7,1.1,4.55
Aaron Finch,Mumbai Indians,2,1,24,24,4.0,6.0
Aaron Finch,Royal Challengers Bangalore,1,0,29,6,1.0,29.0
Aavishkar Salvi,Chennai Super Kings,1,0,41,18,3.0,13.67
Aavishkar Salvi,Deccan Chargers,1,1,26,24,4.0,6.4
Aavishkar Salvi,Mumbai Indians,1,1,27,24,4.0,6.75
Aavishkar Salvi,Punjab Kings,2,3,57,36,6.0,9.5
Aavishkar Salvi,Rajasthan Royals,1,2,19,24,4.0,4.75
Aavishkar Salvi,Royal Challengers Bangalore,1,0,30,24,4.0,7.5
Abdul Samad,Chennai Super Kings,1,1,41,24,4.0,10.25
Abdul Samad,Mumbai Indians,1,0,27,12,2.0,13.5
Abdul Samad,Punjab Kings,1,0,28,6,1.0,28.0
Abdur Razzak,Rajasthan Royals,1,0,29,12,2.0,14.5
Abhimanyu Mithun,Chennai Super Kings,3,2,89,54,9.0,9.89
Abhimanyu Mithun,Deccan Chargers,1,0,33,18,3.0,11.0
Abhimanyu Mithun,Delhi Capitals,2,3,76,42,7.0,10.86
Abhimanyu Mithun,Kochi Tuskers Kerala,2,1,40,24,4.0,10.0
Abhimanyu Mithun,Kolkata Knight Riders,2,1,51,36,6.0,8.5
Abhimanyu Mithun,Mumbai Indians,3,0,99,54,9.0,11.0
Abhimanyu Mithun,Pune Warriors India,1,0,26,24,4.0,6.5
Abhimanyu Mithun,Punjab Kings,2,0,58,36,6.0,9.67
Abhishek Jhunjhunwala,Chennai Super Kings,2,1,31,30,5.0,6.2
Abhishek Jhunjhunwala,Deccan Chargers,1,0,16,6,1.0,16.0
Abhishek Jhunjhunwala,Delhi Capitals,2,0,13,7,1.1,11.82
Abhishek Jhunjhunwala,Mumbai Indians,2,0,33,18,3.0,11.0
Abhishek Jhunjhunwala,Punjab Kings,3,0,36,24,4.0,9.0
Abhishek Nayar,Chennai Super Kings,4,1,82,54,9.0,9.11
Abhishek Nayar,Deccan Chargers,3,1,50,30,5.0,10.0
Abhishek Nayar,Delhi Capitals,3,2,62,36,6.0,10.33
Abhishek Nayar,Kolkata Knight Riders,2,4,33,36,6.0,5.5
Abhishek Nayar,Pune Warriors India,1,1,27,19,3.1,8.71
Abhishek Nayar,Rajasthan Royals,2,0,7,12,2.0,3.5
Abhishek Nayar,Royal Challengers Bangalore,4,0,61,42,7.0,8.71
Abhishek Raut,Deccan Chargers,2,0,20,12,2.0,10.0
Abhishek Raut,Delhi Capitals,1,0,10,6,1.0,10.0
Abhishek Raut,Punjab Kings,1,0,8,6,1.0,8.0
Abhishek Raut,Royal Challengers Bangalore,1,0,6,6,1.0,6.0
Abhishek Sharma,Chennai Super Kings,1,0,4,6,1.0,4.0
Abhishek Sharma,Delhi Capitals,2,1,44,30,5.0,8.8
Abhishek Sharma,Kolkata Knight Riders,1,0,11,6,1.0,11.0
Abhishek Sharma,Punjab Kings,2,1,26,12,2.0,13.0
Abhishek Sharma,Rajasthan Royals,1,0,11,6,1.0,11.0
Abhishek Sharma,Royal Challengers Bangalore,1,1,16,12,2.0,8.0
Abrar Kazi,Rajasthan Royals,1,0,21,12,2.0,10.5
Abu Nechim,Chennai Super Kings,4,1,80,60,10.0,8.0
Abu Nechim,Deccan Chargers,1,0,27,24,4.0,6.75
Abu Nechim,Delhi Capitals,1,1,40,24,4.0,10.0
Abu Nechim,Kolkata Knight Riders,4,5,111,90,15.0,7.4
Abu Nechim,Mumbai Indians,1,0,59,24,4.0,14.75
Abu Nechim,Pune Warriors India,2,4,40,42,7.0,5.71
Abu Nechim,Punjab Kings,1,0,22,18,3.0,7.33
Abu Nechim,Royal Challengers Bangalore,1,1,56,24,4.0,14.0
Abu Nechim,Sunrisers Hyderabad,2,0,63,38,6.2,10.16
Adam Gilchrist,Mumbai Indians,1,1,0,1,0.1,0.0
Adam Milne,Gujarat Lions,1,1,43,24,4.0,10.75
Adam Milne,Mumbai Indians,1,0,29,12,2.0,14.5
Adam Milne,Rising Pune Supergiant,2,2,62,48,8.0,7.75
Adam Milne,Sunrisers Hyderabad,1,1,43,24,4.0,10.75
Adam Voges,Chennai Super Kings,1,0,8,6,1.0,8.0
Adam Voges,Deccan Chargers,1,0,9,12,2.0,4.5
Adam Voges,Delhi Capitals,1,0,9,6,1.0,9.0
Adam Voges,Kolkata Knight Riders,2,0,21,12,2.0,10.5
Adam Voges,Punjab Kings,1,0,12,12,2.0,6.0
Adam Voges,Royal Challengers Bangalore,1,0,17,6,1.0,17.0
Adam Zampa,Delhi Capitals,3,5,95,72,12.0,7.92
Adam Zampa,Kolkata Knight Riders,1,0,8,6,1.0,8.0
Adam Zampa,Mumbai Indians,4,4,120,72,12.0,10.0
Adam Zampa,Punjab Kings,2,3,54,47,7.5,7.2
Adam Zampa,Rajasthan Royals,1,0,27,18,3.0,9.0
Adam Zampa,Royal Challengers Bangalore,1,2,35,24,4.0,8.75
Adam Zampa,Sunrisers Hyderabad,2,7,31,48,8.0,3.88
Aditya Dole,Deccan Chargers,1,2,42,24,4.0,10.5
Aditya Dole,Mumbai Indians,1,1,34,18,3.0,11.33
Aditya Dole,Punjab Kings,1,2,36,24,4.0,9.0
Ajantha Mendis,Chennai Super Kings,1,0,38,24,4.0,9.5
Ajantha Mendis,Delhi Capitals,1,2,22,24,4.0,5.5
Ajantha Mendis,Mumbai Indians,2,1,54,48,8.0,6.75
Ajantha Mendis,Punjab Kings,2,2,62,48,8.0,7.75
Ajantha Mendis,Rajasthan Royals,1,2,19,24,4.0,4.75
