bowler,batting_team,season,Innings,bowler's_wicket,bowler's_runs,valid_ball,overs,economy
Aaron Finch,Chennai Super Kings,2013,1,0,9,6,1.0,9.0
Aaron Finch,Kolkata Knight Riders,2010,1,0,5,7,1.1,4.55
Aaron Finch,Mumbai Indians,2011,1,0,13,12,2.0,6.5
Aaron Finch,Mumbai Indians,2013,1,1,11,12,2.0,5.5
Aaron Finch,Royal Challengers Bangalore,2013,1,0,29,6,1.0,29.0
Aavishkar Salvi,Chennai Super Kings,2009,1,0,41,18,3.0,13.67
Aavishkar Salvi,Deccan Chargers,2011,1,1,26,24,4.0,6.5
Aavishkar Salvi,Mumbai Indians,2009,1,1,27,24,4.0,6.75
Aavishkar Salvi,Punjab Kings,2009,1,1,17,12,2.0,8.5
Aavishkar Salvi,Punjab Kings,2011,1,2,40,24,4.0,10.0
Aavishkar Salvi,Rajasthan Royals,2009,1,2,19,24,4.0,4.75
Aavishkar Salvi,Royal Challengers Bangalore,2009,1,0,30,24,4.0,7.5
Abdul Samad,Chennai Super Kings,2020,1,1,41,24,4.0,10.25
Abdul Samad,Mumbai Indians,2020,1,0,27,12,2.0,13.5
Abdul Samad,Punjab Kings,2020,1,0,28,6,1.0,28.0
Abdur Razzak,Rajasthan Royals,2008,1,0,29,12,2.0,14.5
Abhimanyu Mithun,Chennai Super Kings,2011,3,2,89,54,9.0,9.89
Abhimanyu Mithun,Deccan Chargers,2012,1,0,33,18,3.0,11.0
Abhimanyu Mithun,Delhi Capitals,2010,1,1,39,18,3.0,13.0
Abhimanyu Mithun,Delhi Capitals,2011,1,2,37,24,4.0,9.25
Abhimanyu Mithun,Kochi Tuskers Kerala,2011,2,1,40,24,4.0,10.0
Abhimanyu Mithun,Kolkata Knight Riders,2011,1,0,14,12,2.0,7.0
Abhimanyu Mithun,Kolkata Knight Riders,2013,1,1,37,24,4.0,9.25
Abhimanyu Mithun,Mumbai Indians,2009,1,0,42,24,4.0,10.5
Abhimanyu Mithun,Mumbai Indians,2011,2,0,57,30,5.0,11.4
Abhimanyu Mithun,Pune Warriors India,2011,1,0,26,24,4.0,6.5
Abhimanyu Mithun,Punjab Kings,2011,2,0,58,36,6.0,9.67
Abhishek Jhunjhunwala,Chennai Super Kings,2010,1,0,18,12,2.0,9.0
Abhishek Jhunjhunwala,Chennai Super Kings,2012,1,1,13,18,3.0,4.33
Abhishek Jhunjhunwala,Deccan Chargers,2010,1,0,16,6,1.0,16.0
Abhishek Jhunjhunwala,Delhi Capitals,2010,1,0,2,1,0.1,20.0
Abhishek Jhunjhunwala,Delhi Capitals,2011,1,0,11,6,1.0,11.0
Abhishek Jhunjhunwala,Mumbai Indians,2010,2,0,33,18,3.0,11.0
Abhishek Jhunjhunwala,Punjab Kings,2011,1,0,11,6,1.0,11.0
Abhishek Jhunjhunwala,Punjab Kings,2012,2,0,25,18,3.0,8.33
Abhishek Nayar,Chennai Super Kings,2008,1,0,14,6,1.0,14.0
Abhishek Nayar,Chennai Super Kings,2011,1,0,24,12,2.0,12.0
Abhishek Nayar,Chennai Super Kings,2013,2,1,44,36,6.0,7.33
Abhishek Nayar,Deccan Chargers,2008,2,1,40,24,4.0,10.0
Abhishek Nayar,Deccan Chargers,2011,1,0,10,6,1.0,10.0
Abhishek Nayar,Delhi Capitals,2009,1,0,25,12,2.0,12.5
Abhishek Nayar,Delhi Capitals,2011,1,1,22,12,2.0,11.0
Abhishek Nayar,Delhi Capitals,2013,1,1,15,12,2.0,7.5
Abhishek Nayar,Kolkata Knight Riders,2009,2,4,33,36,6.0,5.5
Abhishek Nayar,Pune Warriors India,2011,1,1,27,19,3.1,8.71
Abhishek Nayar,Rajasthan Royals,2008,1,0,4,6,1.0,4.0
Abhishek Nayar,Rajasthan Royals,2011,1,0,3,6,1.0,3.0
Abhishek Nayar,Royal Challengers Bangalore,2008,1,0,10,6,1.0,10.0
Abhishek Nayar,Royal Challengers Bangalore,2009,1,0,26,24,4.0,6.5
Abhishek Nayar,Royal Challengers Bangalore,2011,1,0,9,6,1.0,9.0
Abhishek Nayar,Royal Challengers Bangalore,2012,1,0,16,6,1.0,16.0
Abhishek Raut,Deccan Chargers,2009,2,0,20,12,2.0,10.0
Abhishek Raut,Delhi Capitals,2009,1,0,10,6,1.0,10.0
Abhishek Raut,Punjab Kings,2011,1,0,8,6,1.0,8.0
Abhishek Raut,Royal Challengers Bangalore,2009,1,0,6,6,1.0,6.0
Abhishek Sharma,Chennai Super Kings,2020,1,0,4,6,1.0,4.0
Abhishek Sharma,Delhi Capitals,2019,1,1,10,6,1.0,10.0
Abhishek Sharma,Delhi Capitals,2020,1,0,34,24,4.0,8.5
