bowler,match,wickets,bowler's_runs,valid_ball,overs_bowled,economy,best,4W Hall,5W Hall
Lasith Malinga,122,170,3370,2827,471.1,7.15,5/ 13,6,1
Amit Mishra,150,160,3867,3161,526.5,7.34,5/ 17,3,1
Piyush Chawla,163,156,4263,3250,541.4,7.87,4/ 17,2,0
Dwayne Bravo,137,153,3798,2712,452.0,8.4,4/ 22,2,0
Harbhajan Singh,157,150,3967,3374,562.2,7.06,5/ 18,1,1
Ravichandran Ashwin,151,138,3700,3230,538.2,6.87,4/ 34,1,0
Bhuvneshwar Kumar,121,136,3253,2697,449.3,7.24,5/ 19,2,1
Sunil Narine,119,127,3147,2785,464.1,6.77,5/ 19,6,1
Yuzvendra Chahal,98,121,2723,2130,355.0,7.67,4/ 25,2,0
Umesh Yadav,120,119,3578,2523,420.3,8.51,4/ 24,2,0
Ravindra Jadeja,155,114,3470,2713,452.1,7.68,5/ 16,3,1
Jasprit Bumrah,92,109,2587,2092,348.4,7.43,4/ 14,2,0
Sandeep Sharma,92,109,2646,2057,342.5,7.73,4/ 20,2,0
Ashish Nehra,88,106,2495,1908,318.0,7.85,4/ 10,1,0
Vinay Kumar,104,105,2966,2121,353.3,8.4,4/ 40,1,0
Zaheer Khan,99,102,2782,2200,366.4,7.59,4/ 17,1,0
Dale Steyn,95,97,2508,2176,362.4,6.92,3/ 8,0,0
Shane Watson,105,92,2682,2029,338.1,7.93,4/ 29,1,0
Mohit Sharma,86,92,2470,1754,292.2,8.45,4/ 14,1,0
Praveen Kumar,119,90,3251,2524,420.4,7.73,3/ 18,0,0
RP Singh,82,90,2338,1775,295.5,7.91,4/ 22,2,0
Pragyan Ojha,90,89,2337,1898,316.2,7.39,3/ 11,0,0
Dhawal Kulkarni,91,86,2426,1763,293.5,8.27,4/ 14,1,0
Albie Morkel,87,85,2359,1723,287.1,8.22,4/ 32,1,0
Jaydev Unadkat,79,81,2420,1644,274.0,8.83,5/ 25,0,2
Axar Patel,96,80,2456,2019,336.3,7.3,4/ 21,1,0
Chris Morris,70,80,1919,1474,245.4,7.82,4/ 23,3,0
Irfan Pathan,101,80,2649,2043,340.3,7.78,3/ 24,0,0
Imran Tahir,58,80,1687,1292,215.2,7.84,4/ 12,3,0
Morne Morkel,70,77,2089,1629,271.3,7.7,4/ 20,1,0
Lakshmipathy Balaji,73,76,2028,1512,252.0,8.05,5/ 24,3,1
