id,inning,bowling_team,bowler,bowler's_wicket,bowler's_runs,valid_ball,over_bowled,economy,season
335982,1,Royal Challengers Bangalore,Zaheer Khan,1,38,24,4,9.5,2008
335982,1,Royal Challengers Bangalore,Ashley Noffke,1,40,24,4,10.0,2008
335982,1,Royal Challengers Bangalore,Jacques Kallis,1,48,24,4,12.0,2008
335982,1,Royal Challengers Bangalore,Sunil Joshi,0,26,18,3,8.67,2008
335982,1,Royal Challengers Bangalore,Praveen Kumar,0,38,24,4,9.5,2008
335982,1,Royal Challengers Bangalore,Cameron White,0,24,6,1,24.0,2008
335982,2,Kolkata Knight Riders,Ajit Agarkar,3,25,24,4,6.24,2008
335982,2,Kolkata Knight Riders,Ashoke Dinda,2,9,18,3,3.0,2008
335982,2,Kolkata Knight Riders,Sourav Ganguly,2,21,24,4,5.25,2008
335982,2,Kolkata Knight Riders,Ishant Sharma,1,7,18,3,2.33,2008
335982,2,Kolkata Knight Riders,Laxmi Shukla,1,12,7,1.1,10.91,2008
335983,1,Punjab Kings,Irfan Pathan,2,47,24,4,11.75,2008
335983,1,Punjab Kings,Brett Lee,1,35,24,4,8.75,2008
335983,1,Punjab Kings,Wilkin Mota,1,24,12,2,12.0,2008
335983,1,Punjab Kings,James Hopes,1,53,24,4,13.25,2008
335983,1,Punjab Kings,S Sreesanth,0,35,18,3,11.67,2008
335983,1,Punjab Kings,Karan Goel,0,25,12,2,12.5,2008
335983,1,Punjab Kings,Piyush Chawla,0,19,6,1,19.0,2008
335983,2,Chennai Super Kings,Muttiah Muralitharan,1,33,24,4,8.25,2008
335983,2,Chennai Super Kings,Manpreet Gony,1,42,24,4,10.5,2008
335983,2,Chennai Super Kings,Palani Amarnath,1,42,24,4,10.5,2008
335983,2,Chennai Super Kings,Joginder Sharma,1,47,24,4,11.75,2008
335983,2,Chennai Super Kings,Jacob Oram,0,37,24,4,9.25,2008
335984,1,Delhi Capitals,Farveez Maharoof,2,11,24,4,2.75,2008
335984,1,Delhi Capitals,Rajat Bhatia,2,17,24,4,4.25,2008
335984,1,Delhi Capitals,Glenn McGrath,1,21,24,4,5.25,2008
335984,1,Delhi Capitals,Daniel Vettori,1,35,24,4,8.75,2008
335984,1,Delhi Capitals,Brett Geeves,0,41,24,4,10.25,2008
335984,2,Rajasthan Royals,Shane Watson,1,31,24,4,7.75,2008
335984,2,Rajasthan Royals,Shane Warne,0,16,12,2,8.0,2008
335984,2,Rajasthan Royals,Yusuf Pathan,0,17,13,2.1,8.1,2008
335984,2,Rajasthan Royals,Munaf Patel,0,25,18,3,8.33,2008
335984,2,Rajasthan Royals,Siddharth Trivedi,0,32,18,3,10.67,2008
335984,2,Rajasthan Royals,Dinesh Salunkhe,0,11,6,1,11.0,2008
335985,1,Royal Challengers Bangalore,Zaheer Khan,2,17,24,4,4.25,2008
335985,1,Royal Challengers Bangalore,Balachandra Akhil,2,17,18,3,5.67,2008
335985,1,Royal Challengers Bangalore,Praveen Kumar,1,29,24,4,7.25,2008
335985,1,Royal Challengers Bangalore,Sunil Joshi,0,10,12,2,5.0,2008
335985,1,Royal Challengers Bangalore,Vinay Kumar,0,41,24,4,10.25,2008
335985,1,Royal Challengers Bangalore,Jacques Kallis,0,43,18,3,14.33,2008
335985,2,Mumbai Indians,Harbhajan Singh,2,36,24,4,9.0,2008
335985,2,Mumbai Indians,Dhawal Kulkarni,1,19,16,2.4,7.92,2008
335985,2,Mumbai Indians,Sanath Jayasuriya,1,39,24,4,9.75,2008
335985,2,Mumbai Indians,Ashish Nehra,1,45,24,4,11.25,2008
335985,2,Mumbai Indians,Shaun Pollock,0,17,24,4,4.25,2008
335985,2,Mumbai Indians,Abhishek Nayar,0,10,6,1,10.0,2008
335986,1,Kolkata Knight Riders,Murali Kartik,3,17,22,3.4,5.0,2008
335986,1,Kolkata Knight Riders,Ajit Agarkar,2,19,12,2,9.5,2008
335986,1,Kolkata Knight Riders,Mohammad Hafeez,1,8,24,4,2.0,2008
335986,1,Kolkata Knight Riders,Ishant Sharma,1,9,18,3,3.0,2008
335986,1,Kolkata Knight Riders,Ashoke Dinda,1,18,18,3,6.0,2008
335986,1,Kolkata Knight Riders,David Hussey,1,35,18,3,11.67,2008
335986,2,Deccan Chargers,Chaminda Vaas,2,9,18,3,3.0,2008
335986,2,Deccan Chargers,Pragyan Ojha,2,18,24,4,4.5,2008
335986,2,Deccan Chargers,RP Singh,1,15,18,3,5.0,2008
335986,2,Deccan Chargers,Scott Styris,0,19,24,4,4.75,2008
335986,2,Deccan Chargers,Sanjay Bangar,0,19,18,3,6.33,2008
335986,2,Deccan Chargers,Andrew Symonds,0,20,12,2,10.0,2008
335987,1,Rajasthan Royals,Shane Warne,3,19,24,4,4.75,2008
335987,1,Rajasthan Royals,Siddharth Trivedi,2,25,24,4,6.25,2008
335987,1,Rajasthan Royals,Munaf Patel,1,36,24,4,9.0,2008
335987,1,Rajasthan Royals,Dinesh Salunkhe,1,21,11,1.5,14.0,2008
335987,1,Rajasthan Royals,Shane Watson,0,39,24,4,9.75,2008
335987,1,Rajasthan Royals,Pankaj Singh,0,12,6,1,12.0,2008
335987,1,Rajasthan Royals,Yusuf Pathan,0,13,6,1,13.0,2008
335987,2,Punjab Kings,Irfan Pathan,1,21,24,4,5.25,2008
335987,2,Punjab Kings,James Hopes,1,33,24,4,8.25,2008
335987,2,Punjab Kings,Brett Lee,1,35,24,4,8.75,2008
335987,2,Punjab Kings,S Sreesanth,1,38,19,3.1,12.26,2008
335987,2,Punjab Kings,Wilkin Mota,0,12,6,1,12.0,2008
335987,2,Punjab Kings,Piyush Chawla,0,27,12,2,13.5,2008
335988,1,Delhi Capitals,Mohammad Asif,2,19,24,4,4.75,2008
335988,1,Delhi Capitals,Rajat Bhatia,2,27,24,4,6.75,2008
335988,1,Delhi Capitals,Farveez Maharoof,2,36,24,4,9.0,2008
335988,1,Delhi Capitals,Yo Mahesh,1,35,24,4,8.75,2008
335988,1,Delhi Capitals,Glenn McGrath,0,22,24,4,5.5,2008
335988,2,Deccan Chargers,RP Singh,1,27,18,3,9.0,2008
335988,2,Deccan Chargers,Chaminda Vaas,0,22,18,3,7.33,2008
335988,2,Deccan Chargers,Shahid Afridi,0,17,12,2,8.5,2008
335988,2,Deccan Chargers,Sanjay Bangar,0,30,12,2,15.0,2008
335988,2,Deccan Chargers,Andrew Symonds,0,35,12,2,17.5,2008
335988,2,Deccan Chargers,Pragyan Ojha,0,12,5,0.5,24.0,2008
335989,1,Mumbai Indians,Musavir Khote,2,29,18,3,9.67,2008
335989,1,Mumbai Indians,Dhawal Kulkarni,1,25,18,3,8.33,2008
335989,1,Mumbai Indians,Ashish Nehra,1,35,24,4,8.75,2008
335989,1,Mumbai Indians,Harbhajan Singh,0,14,12,2,7.0,2008
335989,1,Mumbai Indians,Shaun Pollock,0,32,18,3,10.67,2008
335989,1,Mumbai Indians,Dwayne Bravo,0,36,18,3,12.0,2008
335989,1,Mumbai Indians,Abhishek Nayar,0,14,6,1,14.0,2008
335989,1,Mumbai Indians,Vikrant Yeligati,0,16,6,1,16.0,2008
335989,2,Chennai Super Kings,Joginder Sharma,2,29,24,4,7.25,2008
335989,2,Chennai Super Kings,Muttiah Muralitharan,2,40,24,4,10.0,2008
335989,2,Chennai Super Kings,Manpreet Gony,1,18,24,4,4.5,2008
335989,2,Chennai Super Kings,Palani Amarnath,1,57,24,4,14.25,2008
335989,2,Chennai Super Kings,Jacob Oram,0,53,24,4,13.25,2008
335990,1,Rajasthan Royals,Yusuf Pathan,2,20,12,2,10.0,2008
335990,1,Rajasthan Royals,Shane Warne,2,47,24,4,11.75,2008
335990,1,Rajasthan Royals,Shane Watson,1,32,24,4,8.0,2008
335990,1,Rajasthan Royals,Pankaj Singh,0,14,12,2,7.0,2008
335990,1,Rajasthan Royals,Dinesh Salunkhe,0,9,6,1,9.0,2008
335990,1,Rajasthan Royals,Siddharth Trivedi,0,37,18,3,12.33,2008
