bowler,season,match,wickets,bowler's_runs,valid_ball,overs_bowled,economy,best,4W Hall,5W Hall
Sohail Tanvir,2008,11,22,266,247,41.1,6.47,6/ 14,1,1
Shane Warne,2008,15,19,404,312,52.0,7.77,3/ 19,0,0
S Sreesanth,2008,15,19,442,307,51.1,8.65,3/ 29,0,0
Shane Watson,2008,15,17,383,325,54.1,7.08,3/ 10,0,0
Manpreet Gony,2008,16,17,443,360,60.0,7.37,3/ 34,0,0
Albie Morkel,2008,13,17,399,288,48.0,8.31,4/ 32,1,0
Piyush Chawla,2008,15,17,389,281,46.5,8.37,3/ 25,0,0
Yo Mahesh,2008,11,16,370,253,42.1,8.79,4/ 36,1,0
Irfan Pathan,2008,14,15,350,318,53.0,6.6,2/ 18,0,0
Farveez Maharoof,2008,10,15,249,216,36.0,6.92,3/ 34,0,0
RP Singh,2008,14,15,442,308,51.2,8.63,3/ 35,0,0
Munaf Patel,2008,15,14,420,330,55.0,7.64,3/ 17,0,0
Siddharth Trivedi,2008,15,13,399,288,48.0,8.31,2/ 25,0,0
Zaheer Khan,2008,11,13,357,252,42.0,8.5,3/ 38,0,0
Glenn McGrath,2008,14,12,357,324,54.0,6.61,4/ 29,1,0
Ashish Nehra,2008,14,12,348,269,44.5,7.82,3/ 13,0,0
Umar Gul,2008,6,12,184,135,22.3,8.25,4/ 23,1,0
Shaun Pollock,2008,13,11,301,276,46.0,6.54,3/ 12,0,0
Muttiah Muralitharan,2008,15,11,404,348,58.0,6.97,2/ 39,0,0
Amit Mishra,2008,6,11,138,119,19.5,7.08,5/ 17,0,1
Pragyan Ojha,2008,12,11,289,221,36.5,7.92,2/ 18,0,0
Dhawal Kulkarni,2008,10,11,236,177,29.3,8.05,3/ 33,0,0
Dwayne Bravo,2008,9,11,232,171,28.3,8.2,3/ 24,0,0
Praveen Kumar,2008,13,11,366,268,44.4,8.24,3/ 23,0,0
Lakshmipathy Balaji,2008,9,11,286,198,33.0,8.67,5/ 24,0,1
Vikram Singh,2008,13,11,420,288,48.0,8.75,3/ 29,0,0
Dale Steyn,2008,10,10,252,228,38.0,6.63,3/ 27,0,0
Dilhara Fernando,2008,5,10,160,120,20.0,8.0,4/ 18,1,0
Ashoke Dinda,2008,12,9,260,234,39.0,6.67,3/ 33,0,0
Shahid Afridi,2008,10,9,225,180,30.0,7.5,3/ 28,0,0
Ajit Agarkar,2008,9,8,207,156,26.0,7.96,3/ 25,0,0
Yusuf Pathan,2008,13,8,230,169,28.1,8.19,3/ 22,0,0
Mohammad Asif,2008,8,8,296,192,32.0,9.25,2/ 19,0,0
Joginder Sharma,2008,7,8,239,148,24.4,9.8,2/ 27,0,0
Makhaya Ntini,2008,9,7,242,210,35.0,6.91,4/ 21,1,0
Ishant Sharma,2008,13,7,329,253,42.1,7.81,1/ 7,0,0
Anil Kumble,2008,10,7,304,230,38.2,7.96,3/ 14,0,0
James Hopes,2008,11,7,276,168,28.0,9.86,2/ 2,0,0
Palani Amarnath,2008,6,7,236,132,22.0,10.73,2/ 29,0,0
Sourav Ganguly,2008,7,6,128,120,20.0,6.4,2/ 21,0,0
Rajat Bhatia,2008,9,6,183,132,22.0,8.32,2/ 17,0,0
Laxmi Shukla,2008,9,6,124,72,12.0,10.33,3/ 6,0,0
Dwayne Smith,2008,4,5,83,66,11.0,7.55,3/ 26,0,0
Shoaib Akhtar,2008,3,5,54,42,7.0,7.71,4/ 11,1,0
Vinay Kumar,2008,8,5,182,138,23.0,7.91,3/ 27,0,0
Harbhajan Singh,2008,3,5,82,60,10.0,8.2,3/ 32,0,0
Rohan Raje,2008,6,5,137,98,16.2,8.46,2/ 16,0,0
Chaminda Vaas,2008,5,5,145,102,17.0,8.53,2/ 9,0,0
Pradeep Sangwan,2008,7,5,215,144,24.0,8.96,2/ 29,0,0
Brett Lee,2008,4,4,112,96,16.0,7.0,1/ 9,0,0
Sanath Jayasuriya,2008,8,4,159,126,21.0,7.57,3/ 14,0,0
Paidikalva Vijaykumar,2008,9,4,199,152,25.2,7.9,1/ 17,0,0
Sanjay Bangar,2008,9,4,219,150,25.0,8.76,2/ 34,0,0
Jacques Kallis,2008,11,4,311,206,34.2,9.09,2/ 39,0,0
Dominic Thornely,2008,4,3,40,42,7.0,5.71,2/ 7,0,0
Scott Styris,2008,8,3,199,162,27.0,7.37,1/ 24,0,0
Ramesh Powar,2008,5,3,91,72,12.0,7.58,2/ 22,0,0
Murali Kartik,2008,5,3,127,88,14.4,8.82,3/ 17,0,0
Yuvraj Singh,2008,6,3,83,54,9.0,9.22,2/ 12,0,0
Jacob Oram,2008,4,3,149,96,16.0,9.31,3/ 32,0,0
Gagandeep Singh,2008,4,3,141,84,14.0,10.07,1/ 33,0,0
Virender Sehwag,2008,7,3,133,66,11.0,12.09,1/ 2,0,0
Daniel Vettori,2008,2,2,54,48,8.0,6.75,1/ 19,0,0
Mohammad Hafeez,2008,4,2,68,60,10.0,6.8,1/ 8,0,0
Dimitri Mascarenhas,2008,1,2,29,24,4.0,7.25,2/ 29,0,0
Balachandra Akhil,2008,6,2,134,104,17.2,7.79,2/ 17,0,0
Virat Kohli,2008,4,2,61,46,7.4,8.24,2/ 25,0,0
Nuwan Zoysa,2008,3,2,99,66,11.0,9.0,1/ 30,0,0
Venugopal Rao,2008,7,2,137,84,14.0,9.79,2/ 25,0,0
